l3,l2
Abasto,Capital Federal
Acambuco,Salta
Acebal,Santa Fe
Aeroparque,Mendoza
Agronomía,Capital Federal
Agua de Oro,Córdoba
Aguas Verdes,Buenos Aires Costa Atlántica
Allen,Río Negro
Almagro,Capital Federal
Almirante Brown,Bs.As. G.B.A. Zona Sur
Alta Gracia,Córdoba
Aluminé,Neuquén
Alvear,Santa Fe
Arrecifes,Buenos Aires Interior
Arroyo Seco,Santa Fe
Atlántida,Buenos Aires Costa Atlántica
Avellaneda,Bs.As. G.B.A. Zona Sur
Ayacucho,Buenos Aires Interior
Azul,Buenos Aires Interior
Añelo,Neuquén
Bahía Blanca,Buenos Aires Interior
Balcarce,Buenos Aires Interior
Balneario Sauce Grande,Buenos Aires Costa Atlántica
Balvanera,Capital Federal
Baradero,Buenos Aires Interior
Barracas,Capital Federal
Barrio Norte,Capital Federal
Belgrano,Capital Federal
Berazategui,Bs.As. G.B.A. Zona Sur
Berisso,Buenos Aires Interior
Bernardo de Irigoyen,Misiones
Bialet Massé,Córdoba
Boca,Capital Federal
Boedo,Capital Federal
Bolívar,Buenos Aires Interior
Bragado,Buenos Aires Interior
Brandsen,Buenos Aires Interior
Buena Nueva,Mendoza
Caballito,Capital Federal
Calingasta,San Juan
Camet,Buenos Aires Costa Atlántica
Campana,Buenos Aires Interior
Campo Andino,Santa Fe
Candelaria,Misiones
Capilla del Monte,Córdoba
Capilla del Rosario,Mendoza
Capitán Bermúdez,Santa Fe
Capitán Sarmiento,Buenos Aires Interior
Cariló,Buenos Aires Costa Atlántica
Carmen de Areco,Buenos Aires Interior
Carpintería,San Luis
Carrizales,Santa Fe
Carrodilla,Mendoza
Casilda,Santa Fe
Castellanos,Santa Fe
Castelli,Buenos Aires Interior
Catalinas,Capital Federal
Catriel,Río Negro
Caucete,San Juan
Cayastá,Santa Fe
Cañada de Gómez,Santa Fe
Cañuelas,Bs.As. G.B.A. Zona Sur
Centenario,Neuquén
Centro / Microcentro,Capital Federal
Cerrillos,Salta
Cevil Redondo,Tucumán
Chabás,Santa Fe
Chacabuco,Buenos Aires Interior
Chacarita,Capital Federal
Chacras de Coria,Mendoza
Chapadmalal,Buenos Aires Costa Atlántica
Chascomús,Buenos Aires Interior
Chivilcoy,Buenos Aires Interior
Cinco Saltos,Río Negro
Cipolletti,Río Negro
Coghlan,Capital Federal
Colalao del Valle,Tucumán
Colastiné,Santa Fe
Colegiales,Capital Federal
Colonia Avellaneda,Entre Ríos
Colonia San Bartolomé,Córdoba
Colonia Tirolesa,Córdoba
Colón,Entre Ríos
Comodoro Rivadavia,Chubut
Concepción del Uruguay,Entre Ríos
Concordia,Entre Ríos
Confluencia,Neuquén
Congreso,Capital Federal
Constitución,Capital Federal
Coronel Pringles,Buenos Aires Interior
Coronel Suárez,Buenos Aires Interior
Corrientes,Corrientes
Cortaderas,San Luis
Cosquín,Córdoba
Costa Azul,Buenos Aires Costa Atlántica
Costa Chica,Buenos Aires Costa Atlántica
Costa Esmeralda,Buenos Aires Costa Atlántica
Costa del Este,Buenos Aires Costa Atlántica
Cushamen,Chubut
Córdoba,Córdoba
Desamparados,San Juan
Desvío Arijón,Santa Fe
Diamante,Entre Ríos
Dolores,Buenos Aires Interior
Dorrego,Mendoza
El Bolsón,Río Negro
El Calafate,Santa Cruz
El Challao,Mendoza
El Cuy,Río Negro
El Sauce,Mendoza
El Volcán,San Luis
